paradigm,subject,fold,permute_k,split,calib_size,seed,n_half_a,n_half_b,baseline_a,baseline_b,adapted_b,delta_b
mi,105,version_30,2,stratified,100,44,67,67,0.8217636022514072,0.8583489681050657,0.8048780487804879,-0.053470919324577815
mi,105,version_30,2,stratified,100,45,67,67,0.8686679174484052,0.7908067542213884,0.7288930581613509,-0.06191369606003749
mi,105,version_30,2,stratified,100,46,67,67,0.8114446529080676,0.8405253283302063,0.8058161350844277,-0.03470919324577859
mi,105,version_30,2,stratified,200,42,17,17,0.8571428571428571,0.7272727272727273,0.7121212121212122,-0.015151515151515138
mi,105,version_30,2,stratified,200,43,17,17,0.7714285714285714,0.7878787878787878,0.8939393939393939,0.10606060606060608
mi,105,version_30,2,stratified,200,44,17,17,0.8285714285714285,0.8939393939393939,0.8484848484848484,-0.045454545454545525
mi,105,version_30,2,stratified,200,45,17,17,0.8181818181818181,0.9714285714285715,0.9428571428571428,-0.028571428571428692
mi,105,version_30,2,stratified,200,46,17,17,0.8787878787878788,0.7428571428571429,0.8142857142857143,0.0714285714285714
mi,105,version_30,4,stratified,10,42,112,112,0.6498146275699359,0.7795753286147624,0.7849679811257162,0.005392652510953777
mi,105,version_30,4,stratified,10,43,112,112,0.7573306370070778,0.7020559487698012,0.6474553420963937,-0.05460060667340749
mi,105,version_30,4,stratified,10,44,112,112,0.7516009437141894,0.689922480620155,0.6798112571621167,-0.010111223458038388
mi,105,version_30,4,stratified,10,45,112,112,0.7381193124368048,0.6983485001685203,0.7229524772497472,0.024603977081226858
mi,105,version_30,4,stratified,10,46,112,112,0.7772160431412201,0.6710481968318167,0.39265251095382536,-0.27839568587799135
mi,105,version_30,4,stratified,50,42,92,92,0.6403769841269842,0.7503759398496241,0.7488721804511278,-0.0015037593984963404
mi,105,version_30,4,stratified,50,43,92,92,0.7574404761904762,0.7167919799498748,0.6721804511278195,-0.04461152882205521
mi,105,version_30,4,stratified,50,44,92,92,0.7237103174603174,0.6576441102756891,0.649624060150376,-0.00802005012531315
mi,105,version_30,4,stratified,50,45,92,92,0.6433531746031746,0.743358395989975,0.7729323308270677,0.029573934837092697
mi,105,version_30,4,stratified,50,46,92,92,0.7256944444444444,0.7588972431077694,0.7528822055137845,-0.006015037593984918
mi,105,version_30,4,stratified,100,42,67,67,0.699812382739212,0.7523452157598499,0.7354596622889306,-0.016885553470919357
mi,105,version_30,4,stratified,100,43,67,67,0.7270168855534709,0.7814258911819888,0.7148217636022514,-0.06660412757973744
mi,105,version_30,4,stratified,100,44,67,67,0.6538461538461539,0.7682926829268293,0.7701688555347093,0.0018761726078799779
mi,105,version_30,4,stratified,100,45,67,67,0.7814258911819887,0.7195121951219512,0.6613508442776735,-0.05816135084427765
mi,105,version_30,4,stratified,100,46,67,67,0.7326454033771108,0.7861163227016885,0.7514071294559099,-0.03470919324577859
mi,105,version_30,4,stratified,200,42,17,17,0.7571428571428571,0.4696969696969697,0.7878787878787878,0.3181818181818181
mi,105,version_30,4,stratified,200,43,17,17,0.5571428571428572,0.5606060606060606,0.7272727272727272,0.16666666666666663
mi,105,version_30,4,stratified,200,44,17,17,0.6285714285714286,0.7878787878787878,0.9696969696969696,0.18181818181818177
mi,105,version_30,4,stratified,200,45,17,17,0.6212121212121212,0.9,0.7857142857142857,-0.11428571428571432
mi,105,version_30,4,stratified,200,46,17,17,0.7424242424242424,0.7285714285714285,0.7142857142857143,-0.014285714285714235
mi,105,version_30,8,stratified,10,42,112,112,0.6403774856757667,0.6518368722615436,0.6646444219750589,0.012807549713515276
mi,105,version_30,8,stratified,10,43,112,112,0.6444219750589821,0.6744186046511629,0.5244354566902596,-0.14998314796090328
mi,105,version_30,8,stratified,10,44,112,112,0.669025952140209,0.6309403437815976,0.6171216717222784,-0.013818672059319193
mi,105,version_30,8,stratified,10,45,112,112,0.6582406471183013,0.6430738119312436,0.5254465790360634,-0.11762723289518018
mi,105,version_30,8,stratified,10,46,112,112,0.6531850353892821,0.6639703404111899,0.42635658914728686,-0.237613751263903
